UUID,Distance (ly),Distance (ly) adj,Constellation,RA,Dec,Stellarclass,Mass,Apparent magnitude (v),Visible to the unaided eye,Apparent magnitude (j),Parallax(mas),Parallax(mas) adj,System,StarName,Sub-brown dwarf or rogue planet,Brown dwarf,White dwarf,Luminous star,Notes and additional references,Planets
a76ca09b-066a-4c40-861d-04f127ab4942,25.9987,±0.0063,Serpens,18h 07m 32.8s,−15° 57′ 47″,M4Ve,,,,,125.4509,±0.0306,GJ 1224 (G 154-44),,,,,,,
a6d82fd6-05e1-4d40-833b-df2e5760669a,26.0295,±0.0045,Puppis,07h 40m 11.8s,−42° 57′ 40″,M4.5,,13.81,,,125.3028,±0.0215,SCR J0740−4257,,,,,,,
bba0e1fc-1914-4a71-9862-1ba4b5b2fc93,26.03,±0.062,Capricornus,21h 31m 18.6s,−09° 47′ 26″,M4.5V,,,,,125.3,±0.3,"BB Capricorni (Wolf 922, Gliese 831)",A,,,,,,
e31dfa9c-8143-4780-8b13-b2b7b775dca9,,,,,,M,,,,,,,,B,,,,,,
85fbc469-e9ea-465c-8696-d38e2457c215,26.2274,±0.0084,Puppis,06h 57m 46.6s,−44° 17′ 28″,M3.5V,,,,,124.3569,±0.0399,Gliese 257 (CD-44 3045),A,,,,,,
861741df-5d40-4975-adef-4aa4b5b36b43,,,,,,M,,,,,,,,B,,,,,,
09082043-0256-4045-9994-6dd8a88731bd,26.231,±0.012,Ursa Major,11h 50m 57.7s,+48° 22′ 39″,M7,,,,,124.3378,±0.0549,GJ 1151 (G 122-49),,,,,,,
bb62e9ef-e775-481e-a01c-6e013f6932c9,26.2637,±0.0062,Centaurus,12h 40m 46.3s,+43° 33′ 59″,M3V,,,,,124.1851,±0.0295,Gliese 480.1 (L 399-68),,,,,,,
c4ea26a1-5d97-45cd-b4c2-e92719f75e2e,26.28,±0.19,Draco,18h 21m 03.4s,+72° 43′ 58″,F7V,,3.68,#,,124.11,±0.87,Chi Draconis,A,,,,$,,
45ca0b7d-5ba5-4e5e-8539-0f8c02dd5ce2,,,,,,K0V,,5.67,#,,,,,B,,,,$,,
bfdfa313-f80f-424c-a167-cd548feb3fdf,26.316,±0.036,Orion,04h 49m 50.4s,+06° 57′ 41″,F6V,,3.16,#,,123.94,±0.17,Pi3 Orionis (Tabit),,,,,$,,
bb083649-7752-44f8-a4cd-6bc95c2aedbc,26.3506,±0.0070,Virgo,12h 47m 56.6s,+09° 45′ 05″,M3.5Ve,,,,,123.7756,±0.0329,Gliese 486 (Wolf 437),,,,,,has one known planet,
ae3df7e3-89a4-47d8-95be-ff312c478c4a,26.37,±0.08,Cygnus,21h 48m 16.3s,+40° 03′ 59″,L6.5pec (red),,,,,123.6752,±0.3595,2MASS J21481628+4003593,,,§,,,,
9dd365f4-e1bd-4a2e-8bba-4de777f42944,26.3764,±0.0032,Cepheus,20h 30m 32.0s,+65° 26′ 58″,M3V,,,,,123.6547,±0.0148,Gliese 793 (G 262-15),,,,,,,
f9994591-ad14-499a-aca2-db9b135b6665,26.3789,±0.0096,Virgo,12h 14m 16.5s,+00° 37′ 26″,M4.5Ve,,,,,123.643,±0.0449,GJ 1154 (G 13-22),,,,,,,
2e2f51c9-331c-44c6-94c8-f20989bccb64,26.473,±0.0051,Puppis,08h 12m 40.9s,−21° 33′ 07″,M3.5V,,,,,123.2033,±0.0236,Gliese 300 (L 674-15),,,,,,,
ddc91830-f80d-4156-b628-41ff19bc0946,26.474,±0.0037,Orion,05h 56m 25.5s,+05° 21′ 48″,DAP8.9,,12.930,,,123.1989,±0.0170,"G 99-47 (EGGR 290, GJ 1087)",,,,‡,,,
59a9add2-4990-421b-a285-a3448d6d1ed8,26.6132,±0.0038,Hercules,17h 37m 53.3s,+18° 35′ 30″,MV,,,,,122.5546,±0.0176,Gliese 686,,,,,,has 1 known planet,
0780efcb-4c2b-43ad-a50e-1947fde6cee3,26.6439,±0.0025,Volans*,07h 53m 08.1s,−67° 47′ 31″,DC8.8,,12.726 (J),,,122.413,±0.0114,"L 97-12 (LAWD 26, Gliese 293)",,,,‡,,,
b25d6aba-f352-4bc5-972c-aea08c1d586a,26.69,±0.35,Auriga,05h 21m 26.9s,+36° 41′ 00″,T8.5,,,,,122.2,±1.6,UGPS J0521+3640,,,§,,,,
3fc107fc-e61c-49a8-85bf-a9f78889835c,26.7334,±0.0070,Eridanus,01h 39m 47.6s,−56° 11′ 47″,K2V,,5.82,#,,122.0035,±0.0319,p Eridani (Gliese 66),A,,,,$,,
6ab7b023-001d-4f14-8c7e-ad8dbe5a1b6f,,,,,,K2V,,5.95,#,,,,,B,,,,$,,
e47cb0ff-5bc2-4796-a59b-618bf3b4a38c,26.7982,±0.0070,Eridanus,02h 00m 38.3s,−55° 58′ 05″,MV,,,,,121.7084,±0.0319,L 173-19,,,,,,,
a66c58a7-e316-4842-98bb-8a7c94d16d10,26.8502,±0.0055,Aquarius,23h 00m 16.1s,−22° 31′ 28″,K7+Vk,,7.88,,,121.4724,±0.0249,Gliese 884 (HD 217357),,,,,$,,
71b2d44e-0c8b-4181-95ef-3930b06a4f87,26.853,±0.0035,Cassiopeia,01h 02m 32.2s,+71° 40′ 47″,M3.0Ve,,,,,121.4598,±0.0158,Gliese 48 (Ross 318),,,,,,,
a6d34ba6-131c-4a33-a0a3-695c0fd9adb9,26.87,±0.61,Ursa Major,11h 50m 13.9s,+63° 02′ 42″,T8,,,,,121.4,±2.7,WISEPC J115013.88+630240.7,,,§,,,,
d2060359-ddaa-445f-8fb6-8e3b8d5037dc,27.134,±0.045,Lyra,19h 07m 43.0s,+32° 32′ 42″,M3V,,,,,120.2,±0.2,Gliese 747 (G 207-16),A,,,,,,
317fbca9-41a9-4e8a-82b8-d79998d34e81,,,,,,M,,,,,,,,B,,,,,,
02167642-fdf8-4772-8976-2a0a587f31b9,27.16,±0.41,Reticulum,03h 48m 07.7s,−60° 22′ 27″,T7,,,,,120.1,±1.8,2MASS 0348-6022,,,§,,,,
ef23636a-8c81-47b0-9e6b-76648b326ef3,27.176,±0.0049,Phoenix*,00h 02m 10.7s,−43° 09′ 55″,DAP5.8,,,,,120.0143,±0.0215,"WD 2359-434 (LAWD 96, Gliese 915)",,,,‡,,,
0ffdd843-a9a1-4e34-a2f5-1e6bf0deaa30,27.197,±0.035,Hercules,17h 46m 27.5s,+27° 43′ 15″,G5IV,,3.42,#,,119.9248,±0.1543,Mu Herculis,Aa,,,,$,,
cc208432-3b49-4c75-b9ab-7eb40fbe9bdc,,,,,,M4V,,,,,,,,Ab,,,,,,
0262b35f-9d67-4bd3-876e-231744ffd042,,,,,,M3.5V,,,,,,,,B,,,,,,
19ae4565-0149-4da4-9e74-6e6a0619adda,,,,,,M,,,,,,,,C,,,,,,
4d0afd13-9ca8-4525-9cb8-44dfd0926c16,27.2349,±0.0069,Virgo,13h 36m 31.8s,+03° 40′ 45″,DZ10.0,,,,,119.7566,±0.0304,Wolf 489,,,,‡,,,
67320bb4-dd07-4a29-8b86-4a2e20915f14,27.236,±0.0078,Draco,18h 22m 27.1s,+62° 03′ 02″,M4.0V,,,,,119.7519,±0.0341,GJ 1227 (G 227-29),,,,,,,
08f6181c-ed97-425f-a5f1-33c593760fdc,27.275,±0.013,Andromeda,23h 43m 06.3s,+36° 32′ 13″,MV,,,,,119.5794,±0.0563,GJ 1289 (G 130-4),,,,,,,
7265522f-5483-4a34-a763-a30852c79e50,27.2766,±0.0096,Lepus,05h 02m 28.5s,−21° 15′ 24″,K7V,,,,,119.5737,±0.0420,Gliese 185 (HD 32450),A,,,,,,
16f07ef1-92ad-4101-96f8-76d5ea4acf5d,,,,,,M,,,,,,,,B,,,,,,
e4622ab1-f8a5-480f-91d9-e060257e1dd3,27.3296,±0.0070,Chamaeleon*,11h 38m 16.8s,−77° 21′ 49″,MV,,,,,119.3419,±0.0305,SCR 1138-7721,,,,,,,
7095e6c3-7c3a-4705-9f0f-328c20bacf45,27.39,±0.16,Norma,15h 46m 41.7s,−55° 34′ 47″,M7.5,,,,,119.0962,±0.7032,SCR J1546−5534,A,,,,,,
085a39da-f4b7-4614-a2fc-c30895499a82,,,,,,T8,,,,,,,,B,,§,,,,
098cde25-17e8-4f9c-9e18-020868c45e9d,27.45,±0.64,Pisces,00h 34m 51.6s,+05° 23′ 05″,T6.5,,,,,118.8,±2.7,2MASS J00345157+0523050§,,,,,,,
993de5b6-04ba-441b-82fd-f026d8721ce6,27.604,±0.0036,Cepheus,21h 51m 38.3s,+59° 17′ 40″,M3.5V,,,,,118.1551,±0.0155,TYC 3980-1081-1,A (IRAS 21500+5903),,,,,,
4fcde9e9-3bf5-4b4f-9b56-a249487bd346,,,,,,DAH,,,,,,,,B (UCAC4 747-070768),,,‡,,,
6b021fc5-dfaa-47c2-a5bc-d4d79827e4fe,27.634,±0.036,Canes Venatici*,12h 33m 44.5s,+41° 21′ 27″,G0V,,4.24,#,,118.0266,±0.1530,Beta Canum Venaticorum (Chara),,,,,$,,
a156bae2-f9c5-4fc9-80ec-6e489c21ad17,27.7046,±0.0065,Gemini,06h 24m 41.3s,+23° 25′ 59″,M4V,,,,,117.7263,±0.0278,Gliese 232 (Ross 64),,,,,,,
a27d4c45-4f80-490d-845a-73f8bd18a263,27.7647,±0.0069,Scorpius,16h 20m 03.5s,−37° 31′ 44″,M3V,,,,,117.4716,±0.0291,Gliese 618 (CD-37 10765),A,,,,,,
eb63b6cd-9c77-464c-9d5b-d07f666054c4,,,,,,M5,,,,,,,,B,,,,,,
de4dc61b-e41b-489b-bbf1-e953cc62cda7,27.7826,±0.0049,Pyxis*,08h 41m 32.4s,−32° 56′ 33″,DA5.5,,,,,117.3961,±0.0205,"Gliese 318 (CD-32 5613, LAWD 28)",,,,‡,,suspected double white dwarf,
8b6fdd02-7c9e-481c-aa00-84c3dd859fd7,27.836,±0.035,Virgo,13h 18m 24.3s,−18° 18′ 40″,G7V,,4.74,#,,117.1726,±0.1456,61 Virginis,,,,,$,has 3 known planets,
188adeb0-2683-48aa-8c72-2e045ea939bc,27.8436,±0.0081,Aquarius,22h 53m 53.3s,−06° 46′ 54″,DZ,,,,,117.1388,±0.0341,GJ 1276 (EGGR 453),,,,‡,,,
a22b4d9e-cdfc-4bcf-8983-88be986d5302,27.869,±0.015,Virgo,13h 00m 33.5s,+05° 41′ 08″,M4.5Ve,,,,,117.0327,±0.0613,Gliese 493.1 (Wolf 461),,,,,,,
d8f4001d-d30d-4053-b514-26de63db83c7,27.97,±0.23,Canis Minor,07h 36m 25.1s,+07° 04′ 43″,M4.5V,,,,,116.6,±0.97,GJ 3454 (G 89-32),A,,,,,,
c3ca96bb-17f9-4898-b209-f67a9432f72f,,,,,,M,,,,,,,,B,,,,,,
9cf2a1fe-3abb-498b-a488-7688551da93d,28.02,+5.99−4.20,Eridanus,02h 02m 16.2s,+10° 20′ 14″,Y1,,,,,116.4,±20.5,CWISEP 0402-2651,,,§,,,,
e5cd48a8-3a96-445a-a925-b99fd9d395df,28.0412,±0.0041,Octans*,22h 55m 45.5s,−75° 27′ 31″,M3V,,10.377,,,116.3134,±0.0168,Gliese 877 (L 49-19),,,,,,,
eeabf77a-a3df-4ef3-a616-a55a412d95e7,28.052,±0.010,Cetus,03h 13m 22.9s,+04° 46′ 29″,M4.5Ve,,,,,116.2678,±0.0427,CD Ceti,,,,,,,
711ed9ed-a84a-419b-81b5-018f44d78dc3,28.073,±0.032,Tucana,00h 20m 04.3s,−64° 52′ 29″,F9.5V,,4.23,#,,116.1826,±0.1334,Zeta Tucanae,,,,,$,,
3ec88df9-0cdd-49e8-9786-c05066a1b83c,28.107,±0.011,Serpens,15h 30m 30.3s,+09° 26′ 01″,M5.5V,,,,,116.0425,±0.0435,LP 502-56 (NLTT 40406),,,,,,,
1e778cd3-97c2-4644-87bb-e87608d9e57f,28.12,+9.37−5.62,Draco,16h 47m 15.8s,+56° 32′ 06″,T6,,16.59,,,116.0,±29,WISE 1647+5632,,,§,,,,
c4bb0959-fa2c-4dff-888f-bf70c6646b1d,28.2,±5.7,Orion,06h 17m 41.8s,+19° 45′ 13″,L2,,,,,,,CWISE 0617+1945,A,,§,,,"parallax uncertain, brown dwarfs are separated by about 37 AU",
01ace548-d4b1-4bd2-8edb-a3e46f088b0c,,,,,,L4,,,,,,,,B,,§,,,,
64ab7e08-63db-4efa-8bad-313d516e16c2,28.242,±0.018,Hydra,08h 53m 36.2s,−03° 29′ 32″,M9V,,18.959,,,115.4876,±0.0726,GJ 3517 (LP 666-9),,,,,,,
68a8455a-92d7-4abb-a1f8-9bc651eb3010,28.256,±0.066,Orion,05h 54m 23.0s,+20° 16′ 34″,G0V,,4.39,#,,115.43,±0.27,Chi1 Orionis,A,,,,$,,
4acc2509-f86b-4601-9e5e-11df36982642,,,,,,,,,,,,,,B,,,,,,
467b22b5-cafe-41d2-b6ad-1d9fe4da47d0,28.2636,±0.0073,Columba*,06h 04m 32.2s,−34° 33′ 36″,M4.5Ve,,12.96,,,115.3982,±0.0298,AP Columbae,,,,,,,
aade4747-ad76-460f-8868-380921c394d2,28.3408,±0.0088,Centaurus,11h 41m 21.5s,−36° 24′ 35″,M5,,13105,,,115.0835,±0.0359,SIPS J1141-3624 (PM J11413-3624),,,,,,,
b98c1470-2547-424b-b643-33aeb83656a6,28.3822,±0.0062,Ophiuchus,16h 57m 05.7s,−04° 20′ 56″,M3.5Ve,,12.25,,,114.9158,±0.0252,GJ 1207 (G 19-7),,,,,,,
348a5c89-877d-48d6-a111-8284b3311f73,28.459,±0.010,Phoenix,39h 54m 21.7s,−39° 36′ 09″,M4.5V,,14.403,,,114604.0,±0.0402,LP 991-84,,,,,,,
06e67c87-d424-41d0-80c4-02ecb3153d25,28.49,±0.11,Ursa Major,11h 18m 10.9s,+31° 31′ 45″,F8.5:V,,4.41,#,,114.4867,±0.4316,Xi Ursae Majoris,Aa (Alula Australis),,,,$,,
f7451b7a-2ab7-45e3-9b87-170b63d9a0ad,,,,,,M,,,,,,,,Ab,,,,,,
b7b2fa56-5584-4b9a-a0d3-33dd447f9e4f,,,,,,G2V,,4.87,#,,,,,Ba,,,,$,,
84091aa0-d6e6-4c59-b043-e0c8ab3baf87,,,,,,M,,,,,,,,Bb,,,,,,
f411416d-5961-4f89-a386-40506f24fe1b,,,,,,T8.5,,,,,,,,WISE J1118+3125,,§,,,,
7d598a7f-38f0-4c6f-875b-02d8097d87f1,28.492,±0.034,Pisces,00h 36m 16.17s,18° +21′ 10.4″,L3.5,,,,,114.4735,±0.1381,2MASS 0036+1821 (LSPM J0036+1821),,,§,,,,
21937d24-aefb-4928-b1a6-df407df90f46,28.5373,±0.0055,Monoceros,06h 52m 18.1s,−05° 10′ 25″,K3V,,6.58,,,114.2911,±0.0219,Gliese 250 (HD 50281),A,,,,$,,
a8ea4ecf-8a17-44a3-8ab4-615460b88f39,,,,,,M2.5V,,,,,,,,Ba,,,,,,
c2ae17fc-54cb-4f54-8cee-67703412cf8d,,,,,,,,,,,,,,Bb,,,,,,
9e336d75-7c37-44d5-9df4-6be15fe60a16,28.5888,±0.0048,Ursa Major,11h 51m 07.3s,+35° 16′ 19″,M1.5V,,,,,114.0854,±0.0191,Gliese 450 (MCC 135),,,,,,,
430c09c5-de86-4cd4-bf89-3643ab990628,28.64,±0.99,Aquila,19h 36m 56.1s,+04° 08′ 01″,Y0,,,,,113.9,±3.8,WISENF 1936+0408,,,§,,,spectral type is uncertain,
efeb9d85-8582-4aeb-830f-551364b93f9e,28.673,±0.018,Ara,17h 19m 03.8s,−46° 38′ 10″,G8V,,5.55,#,,113.7513,±0.0725,41 G. Arae,Aa,,,,$,,
fab6b69f-0fab-436e-b238-af44cb50b78c,,,,,,,,,,,,,,Bb,,,,,,
538ee18f-e29e-4a9c-bf41-8a179e6424ca,,,,,,M0V,,,,,,,,B,,,,,,
7e248743-3ade-4def-8072-13697c3c79ee,,,,,,?,,,,,,,,?,,,,,,
965b021d-61aa-4606-b1cc-5dc24509da05,28.739,±0.013,Capricornus,20h 15m 17.4s,−27° 01′ 59″,K2+V,,5.73,#,,113.4872,±0.0516,"HR 7722 (5 G. Capricorni, HD 192310, Gliese 785)",,,,,$,has 2 known planets,
65ec4521-4c09-485d-9c19-554dc15c7e06,28.7503,±0.0076,Aquarius,22h 09m 40.3s,–04° 38′ 27″,M3.5V,,,,,113.4447,±0.0300,Gliese 849,,,,,,has 2 known planets,
5cf4a3fc-d687-4ef1-ae84-5e413865488a,28.762,±0.051,Delphinus,20h 29m 48.3s,+09° 41′ 20″,M4.5V,,,,,113.4,±0.2,HU Delphini (Gliese 791.2),A,,,,,,
d127418b-1071-4955-a115-629dc28e24fe,,,,,,M,,,,,,,,B,,,,,,
37063604-b6b4-4448-97b8-dffa52d79ccb,28.8066,±0.0049,Sagitta*,19h 07m 05.6s,+20° 53′ 17″,M2.0V,,,,,113.2228,±0.0192,Gliese 745,A (Ross 730),,,,,,
23653899-8626-47d5-8069-f15441a55b52,,,,,,M2V,,,,,,,,B (HD 349726),,,,,,
b8d77747-e840-4345-ac09-fa7ce2c1372c,28.8301,±0.0043,Mensa*,06h 33m 47.0s,−75° 37′ 46″,M2V,,10.484,,,113.1304,±0.0169,IRAS 06355-7535 (LDS 169),A (L 32-9),,,,,,
7f9304fc-d390-44c6-92fa-ca6be55aa87e,,,,,,M3V,,11.419,,,,,,B (L 32-8),,,,,,
5c9bbf39-9038-41b9-9fea-52bdfad78c40,28.8451,±0.0057,Eridanus,05h 00m 49.0s,−05° 45′ 13″,K3V,,6.22,#,,113.0715,±0.0222,"HR 1614 (284 G. Eridani, HD 32147, Gliese 183)",,,,,$,,
b9aaf780-403c-4909-891f-da6d0f3d3367,28.8653,±0.0066,Lynx*,07h 58m 12.7s,+41° 18′ 13″,M3.5Ve,,,,,112.9927,±0.0259,GJ 1105 (G 111-47),,,,,,,
a3074dd7-ce1c-481f-93cf-59608cfad066,28.8668,±0.0099,Aquarius,22h 38m 45.6s,−20° 37′ 16″,M0Vep,,,,,112.9867,±0.0387,Gliese 867,A (FK Aquarii),,,,,,
03bf6267-5639-4ccd-8bcc-12415fb2cb3b,,,,,,M3.5V,,,,,,,,B (FL Aquarii),,,,,,
b87fcfd9-39a3-4a47-9133-12914fd36b26,,,,,,,,,,,,,,C,,,,,,
db187f43-c0e6-4a23-b5b6-f38a81803833,,,,,,,,,,,,,,D,,,,,,
53e9c7c3-6e5c-4fe7-ba74-979b25145233,28.9469,±0.0062,Corvus*,12h 24m 52.5s,−18° 14′ 32″,M2,,11.272,,,112.674,±0.0241,Ross 695 (Gliese 465),,,,,,,
8928e1f6-d4e7-4d8d-a4c6-8847cc484bd5,28.951,±0.024,Mensa,06h 30m 46.6s,−76° 43′ 09″,M6.0,,,,,112.6584,±0.0934,SCR J0630-7643,A,,,,,,
9379c001-df56-4e81-8414-bd46dc98e5eb,,,,,,M,,,,,,,,B,,,,,,
f88532a7-a6b8-45d2-b2c7-f986a5ac4a9a,28.963,±0.014,Horologium,03h 34m 12.2s,−49° 53′ 32″,M9V,,,,,112.61,±0.0557,DENIS 0334-49 (LEHPM 3396),,,,,,,
58e0109a-3ce0-499f-bb27-abbe4911f4d7,28.99,±0.23,Gemini,07h 27m 18.2s,+17° 10′ 01″,T7,,,,,112.5,±0.9,2MASS 0727+1710,,,§,,,,
31ffa385-118b-4dbe-acaf-14f673182df2,29.0004,±0.0058,Lepus,05h 44m 27.8s,−22° 26′ 54″,F6V,,3.59,#,,112.4661,±0.0225,Gamma Leporis,A,,,,$,,
55419c5a-acd1-497d-a3b1-cbce3f934e56,,,,,,K2V,,6.17,#,,,,,B (AK Leporis),,,,$,,
c9fa7b08-f9cf-4124-9ffe-ef21b346b9a0,,,,,,M3.5V,,,,,,,,C,,,,,,
3a873c73-c9bb-4cc4-af19-1fd152b6513e,29.03,+2.28−1.95,Serpens,18h 10m 06.18s,−10° 10′ 00.5″,esdT8-esdT9,,,,,112.5,+8.1−8.0,WISE1810,,,§,,,closest extreme metal-poor brown dwarf,
5c83d4a3-4919-4a99-877e-c4b4cf43db5d,29.155,±0.0059,Hydra,08h 16m 08.0s,+01° 18′ 09″,M2.0V,,10.091,,,111.8698,±0.0228,GJ 2066 (G 113-20),,,,,,,
8598d0ab-e772-46b2-83a7-f281a683f6b7,29.43,±0.19,Lynx,07h 03m 55.7s,+52° 42′ 07″,M5.0Ve,,,,,110.8263,±0.6945,"LHS 224 (G 193-27, GJ 3421)",A,,,,,,
168807e8-9f83-4d7b-ab4b-15c17ab0c97e,,,,,,M,,,,,,,,B,,,,,,
8a1dad73-b787-47e5-935d-cc74db9dbe33,29.588,±0.0045,Ursa Major,11h 20m 04.8s,+65° 50′ 47″,M2V,,,,,110.2305,±0.0166,SZ Ursae Majoris,A,,,,,,
c418aee1-84bf-4cf5-b9e9-86b9c48a7371,,,,,,,,,,,,,,B,,,,,,
07df9e18-0f56-4aae-8758-8681022e4dab,29.6045,±0.0055,Hydra,11h 35m 26.9s,−32° 32′ 24″,M2V,,,,,110.1711,±0.0204,Gliese 433,,,,,,has 2 known planets,
e734eaaa-7e09-4192-997c-a43d2b55cba7,29.644,±0.052,Eridanus,03h 43m 14.9s,–09° 45′ 48″,KIV,,3.52,#,,110.0254,±0.1944,Delta Eridani («Rana»),,,,,$,,
6eee9c5f-d8c6-4e34-962a-a7de1e315c33,29.65,±0.23,Canes Venatici,13h 19m 45.5s,+47° 46′ 41″,M2V,,8.54,,,109.9837,±0.8292,Gliese 508 (HD 115953),Aa,,,,,,
d73861f1-973d-420d-81e2-b54789f0dbd9,,,,,,,,,,,,,,Ab,,,,,,
43219f0b-f69f-4925-bc0d-ad80c0b2bfe3,,,,,,,,,,,,,,B,,,,,,
587233f4-1228-468e-9e45-951fb14d5338,29.664,±0.019,Aries,02h 16m 30.0s,+13° 35′ 13″,M5.0Ve,,,,,109.95,±0.0704,GJ 3146 (LP 469-206),,,,,,,
5647116d-669a-44c4-8bc1-62a499b4f49b,29.6701,±0.0055,Cetus,00h 41m 26.0s,−22° 21′ 02″,DQ9,,,,,109.9276,±0.0202,"LHS 1126 (GJ 2012, EGGR 246)",,,,‡,,,
a96c190d-c791-4849-858c-f1abed52a9b6,29.6898,±0.0070,Pegasus,22h 01m 13.1s,+28° 18′ 25″,M3.5Ve,,,,,109.8548,±0.0259,V374 Pegasi,,,,,,,
3451f78c-49a5-4573-9ef9-80ac38fc68bc,29.714,±0.076,Auriga,06h 52m 30.7s,+47° 10′ 35″,L4.5,,,,,109.7651,±0.2782,2MASSI J0652307+471034,,,§,,,,
52012abb-2561-49ef-9690-33054ad664f6,29.723,±0.063,Centaurus,14h 11m 59.9s,−41° 32′ 22″,M5.5e,,,,,109.7323,±0.2316,WT 460,A,,,,,,
59e79a3f-d9da-4d53-9836-d594732a71cd,,,,,,,,,,,,,,B,,,,,,
53ac4793-4a28-4318-b7a3-98a4f85fbfce,29.8285,±0.0049,Puppis,07h 40m 20.8s,−17° 24′ 49″,DAZ6,,13.061,,,109.344,±0.0181,Gliese 283 (L 745-46),"A (LP 783-3, LAWD 25)",,,‡,,,
af55a147-5567-4935-ab6e-4e5c9e046d33,,,,,,M6.5V,,16.696,,,,,,B (LP 783-2),,,,,,
24b6474b-381d-4aa3-86f5-929dd6472434,29.84,±0.58,Canis Major,07h 13m 22.6s,−29° 17′ 52″,Y0,,,,,109.3,±2.1,WISE 0713−2917,,,§,,,,
6f248131-8abb-48b8-9aa0-78e08fab3717,29.88,±0.13,Taurus,03h 55m 23.4s,+11° 33′ 44″,L5γ,,,,,109.1381,±0.4833,2MASS J03552337+1133437,,,§,,,,
2fec073b-ed58-4107-ac72-72781e298fe2,29.9,±1.05,Indus,21h 34m 56.7s,−71° 37′ 45″,T9pec,,,,,109.1,±3.7,WISEP J213456.73-713743.6,,,§,,,,
a3c6a900-a3f9-4d76-8df1-3211170fe591,29.9145,±0.0054,Ursa Major,11h 52m 58.8s,+37° 43′ 07″,G8VIp,,6.42,#,,109.0296,±0.0197,"Groombridge 1830 (CF Ursae Majoris, HD 103095)",,,,,$,,
884e2808-3738-49ad-ad6d-e16e6d41a134,29.98,±0.012,Canes Venatici,13h 42m 43.3s,+33° 17′ 24″,M4V,,13.896,,,108.7903,±0.0440,GJ 3801 (Ross 1015),,,,,,,
077728ae-404c-49f7-ad00-df30947b13f6,29.998,±0.045,Coma Berenices*,13h 11m 52.4s,+27° 52′ 41″,G0V,,4.23,#,,108.725,±0.1645,Beta Comae Berenices,,,,,$,,
